2023-06-05 11:35:08[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:35:08[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:35:08[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:35:08[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:35:08[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:35:08[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:35:08[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:35:08[ INFO ]UserEntity: >>equals测试成功
2023-06-05 11:35:08[ INFO ]UserEntity: >>hashcode测试成功
2023-06-05 11:35:08[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:35:12[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:35:12[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:35:12[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:35:12[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:35:13[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:35:13[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:40:11[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:40:11[ INFO ]User: >>equals测试成功
2023-06-05 11:40:11[ INFO ]User: >>hashcode测试成功
2023-06-05 11:40:16[ INFO ]TestController: >>test测试成功
2023-06-05 11:40:17[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:40:17[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:40:17[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:40:17[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:40:17[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:40:17[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:40:17[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:40:17[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:40:17[ INFO ]UserEntity: >>equals测试成功
2023-06-05 11:40:17[ INFO ]UserEntity: >>hashcode测试成功
2023-06-05 11:40:17[ INFO ]UserEntityMapper: >>login登录测试成功
